,year,month,water_temp,Station
15,2001.0,February,52.85929487179487,Port San Luis
16,2001.0,January,54.049463489409135,Port San Luis
17,2001.0,July,56.94859253065775,Port San Luis
18,2001.0,June,58.406518952062434,Port San Luis
19,2001.0,March,54.25627787068005,Port San Luis
20,2001.0,May,56.00913461538461,Port San Luis
21,2001.0,November,58.88913043478261,Port San Luis
22,2001.0,October,58.420766190331406,Port San Luis
23,2001.0,September,59.044377090301005,Port San Luis
24,2002.0,April,53.3143648018648,Port San Luis
25,2002.0,August,57.1355132243805,Port San Luis
26,2002.0,December,56.67327703293037,Port San Luis
27,2002.0,February,53.22621161447249,Port San Luis
28,2002.0,January,53.71209587513936,Port San Luis
29,2002.0,July,58.30465214133692,Port San Luis
30,2002.0,June,55.31821812245725,Port San Luis
31,2002.0,March,53.04070512820513,Port San Luis
32,2002.0,May,52.3623355191719,Port San Luis
33,2002.0,November,56.32991573643748,Port San Luis
34,2002.0,October,56.99461331127653,Port San Luis
35,2002.0,September,57.13696386946387,Port San Luis
36,2003.0,April,52.88781367928747,Port San Luis
37,2003.0,August,57.6316889632107,Port San Luis
38,2003.0,December,55.12087414397197,Port San Luis
39,2003.0,February,56.03253205128205,Port San Luis
40,2003.0,January,56.27477703455964,Port San Luis
41,2003.0,July,56.26950947603121,Port San Luis
42,2003.0,June,54.82929905239688,Port San Luis
43,2003.0,March,53.50064169526127,Port San Luis
44,2003.0,May,52.55672380156076,Port San Luis
45,2003.0,November,57.60788939321548,Port San Luis
46,2003.0,October,58.193464958954095,Port San Luis
47,2003.0,September,57.22222433363738,Port San Luis
48,2004.0,April,53.31652034559643,Port San Luis
49,2004.0,August,59.007821526299786,Port San Luis
50,2004.0,December,55.664196310935445,Port San Luis
51,2004.0,February,53.28929195804196,Port San Luis
52,2004.0,January,53.899338071348936,Port San Luis
53,2004.0,July,58.92641344163084,Port San Luis
54,2004.0,June,55.10618729096991,Port San Luis
55,2004.0,March,54.82649868247695,Port San Luis
56,2004.0,May,53.83020738319652,Port San Luis
57,2004.0,November,57.60747187595014,Port San Luis
58,2004.0,October,59.03666387959866,Port San Luis
59,2004.0,September,60.39683667781493,Port San Luis
60,2005.0,April,51.94267840759546,Port San Luis
61,2005.0,August,59.36470402880872,Port San Luis
62,2005.0,December,55.11020690312738,Port San Luis
63,2005.0,February,56.800466833890745,Port San Luis
64,2005.0,January,56.89618868450391,Port San Luis
65,2005.0,July,56.26991834855965,Port San Luis
66,2005.0,June,54.4433110367893,Port San Luis
67,2005.0,March,57.79127303855565,Port San Luis
68,2005.0,May,54.10566272495621,Port San Luis
69,2005.0,November,56.349344677062064,Port San Luis
70,2005.0,October,55.15221381878991,Port San Luis
71,2005.0,September,57.14275912906061,Port San Luis
72,2006.0,April,54.75530091131919,Port San Luis
73,2006.0,August,59.28080165781577,Port San Luis
74,2006.0,December,55.45648446747546,Port San Luis
75,2006.0,February,53.40186514572384,Port San Luis
76,2006.0,January,54.53035084909369,Port San Luis
77,2006.0,July,58.627704630002206,Port San Luis
