datetime,PRCP_Eureka,PRCP_SantaCruz,PRCP_SantaMaria,PRCP_LosAngeles,PRCP_SanDiego
2000-04-05,0.0,0.0,0.0,0.0,0.0
2000-04-06,0.0,0.0,0.0,0.0,0.0
2000-04-07,0.0,0.0,0.0,0.0,0.0
2000-04-08,0.0,0.0,0.0,0.0,0.0
2000-04-09,0.0,0.0,0.0,0.0,0.0
2000-04-10,0.0,0.0,0.0,0.0,0.0
2000-04-11,0.04,0.04,0.0,0.0,0.0
2000-04-12,0.06,0.06,0.0,0.0,0.0
2000-04-13,0.05,0.05,0.0,0.0,0.0
2000-04-14,0.0,0.0,0.57,0.0,0.0
2000-04-15,0.1,0.1,0.0,0.0,0.04
2000-04-16,0.92,0.92,0.06,0.0,0.0
2000-04-17,0.52,0.52,2.14,1.24,0.41
2000-04-18,0.03,0.03,0.19,0.25,0.08
2000-04-19,0.0,0.0,0.0,0.0,0.0
2000-04-20,0.0,0.0,0.0,0.0,0.0
2000-04-21,0.05,0.05,0.0,0.0,0.01
2000-04-22,0.12,0.12,0.0,0.0,0.0
2000-04-23,0.0,0.0,0.0,0.0,0.0
2000-04-24,0.0,0.0,0.0,0.0,0.0
2000-04-25,0.03,0.03,0.0,0.0,0.0
2000-05-01,0.23,0.23,0.0,0.0,0.0
2000-05-02,0.05,0.05,0.0,0.0,0.0
2000-05-03,0.01,0.01,0.0,0.0,0.0
2000-05-04,0.0,0.0,0.0,0.0,0.0
2000-05-05,0.13,0.13,0.0,0.0,0.0
2000-05-06,0.2,0.2,0.0,0.0,0.0
2000-05-07,0.2,0.2,0.0,0.0,0.0
2000-05-08,0.01,0.01,0.02,0.0,0.0
2000-05-09,0.27,0.27,0.0,0.0,0.0
2000-05-10,0.39,0.39,0.0,0.0,0.0
2000-05-11,0.05,0.05,0.0,0.0,0.0
2000-05-12,0.0,0.0,0.0,0.0,0.0
2000-05-13,0.0,0.0,0.0,0.0,0.0
2000-05-14,0.09,0.09,0.0,0.0,0.0
2000-05-15,0.1,0.1,0.01,0.0,0.0
2000-05-16,0.02,0.02,0.0,0.0,0.0
2000-05-17,0.0,0.0,0.0,0.0,0.0
2000-05-18,0.0,0.0,0.0,0.0,0.0
2000-05-19,0.0,0.0,0.0,0.0,0.0
2000-05-20,0.0,0.0,0.0,0.0,0.0
2000-05-21,0.0,0.0,0.0,0.0,0.0
2000-05-22,0.0,0.0,0.0,0.0,0.0
2000-05-23,0.0,0.0,0.0,0.0,0.0
2000-05-24,0.0,0.0,0.0,0.0,0.0
2000-05-25,0.0,0.0,0.0,0.0,0.0
2000-06-01,0.0,0.0,0.0,0.0,0.0
2000-06-02,0.0,0.0,0.0,0.0,0.0
2000-06-03,0.0,0.0,0.0,0.0,0.0
2000-06-04,0.0,0.0,0.0,0.0,0.0
2000-06-05,0.0,0.0,0.0,0.0,0.0
2000-06-06,0.0,0.0,0.0,0.0,0.0
2000-06-07,0.15,0.15,0.0,0.0,0.0
2000-06-08,0.04,0.04,0.07,0.0,0.0
2000-06-09,0.11,0.11,0.0,0.0,0.0
2000-06-10,0.0,0.0,0.0,0.0,0.0
2000-06-11,0.09,0.09,0.0,0.0,0.0
2000-06-12,0.13,0.13,0.0,0.0,0.0
2000-06-13,0.0,0.0,0.0,0.0,0.0
2000-06-14,0.0,0.0,0.0,0.0,0.0
2000-06-15,0.0,0.0,0.0,0.0,0.0
2000-06-16,0.0,0.0,0.0,0.0,0.0
2000-06-17,0.0,0.0,0.0,0.0,0.0
2000-06-18,0.0,0.0,0.0,0.0,0.0
2000-06-19,0.0,0.0,0.0,0.0,0.0
2000-06-20,0.0,0.0,0.0,0.0,0.0
2000-06-21,0.0,0.0,0.0,0.0,0.0
2000-06-22,0.0,0.0,0.0,0.0,0.0
2000-06-23,0.0,0.0,0.0,0.0,0.0
2000-06-24,0.0,0.0,0.0,0.0,0.0
2000-06-25,0.0,0.0,0.0,0.0,0.0
2000-07-01,0.02,0.02,0.0,0.0,0.0
2000-07-02,0.0,0.0,0.0,0.0,0.0
2000-07-03,0.0,0.0,0.0,0.0,0.0
2000-07-04,0.0,0.0,0.0,0.0,0.0
2000-07-05,0.0,0.0,0.0,0.0,0.0
2000-07-06,0.0,0.0,0.0,0.0,0.0
2000-07-07,0.0,0.0,0.0,0.0,0.0
2000-07-08,0.0,0.0,0.0,0.0,0.0
2000-07-09,0.0,0.0,0.0,0.0,0.0
2000-07-10,0.0,0.0,0.0,0.0,0.0
2000-07-11,0.0,0.0,0.0,0.0,0.0
2000-07-12,0.0,0.0,0.0,0.0,0.0
2000-07-13,0.0,0.0,0.0,0.0,0.0
2000-07-14,0.0,0.0,0.0,0.0,0.0
2000-07-15,0.0,0.0,0.0,0.0,0.0
2000-07-16,0.0,0.0,0.0,0.0,0.0
2000-07-17,0.0,0.0,0.0,0.0,0.0
2000-07-18,0.0,0.0,0.0,0.0,0.0
2000-07-19,0.0,0.0,0.0,0.0,0.0
2000-07-20,0.0,0.0,0.0,0.0,0.0
2000-07-21,0.02,0.02,0.0,0.0,0.0
2000-07-22,0.0,0.0,0.0,0.0,0.0
2000-07-23,0.0,0.0,0.0,0.0,0.0
2000-07-24,0.0,0.0,0.0,0.0,0.0
2000-07-25,0.0,0.0,0.0,0.0,0.0
2000-08-01,0.0,0.0,0.0,0.0,0.0
2000-08-02,0.0,0.0,0.0,0.0,0.0
2000-08-03,0.0,0.0,0.0,0.0,0.0
2000-08-04,0.0,0.0,0.0,0.0,0.0
2000-08-05,0.0,0.0,0.0,0.0,0.0
2000-08-06,0.0,0.0,0.0,0.0,0.0
2000-08-07,0.0,0.0,0.0,0.0,0.0
2000-08-08,0.0,0.0,0.0,0.0,0.0
2000-08-09,0.0,0.0,0.0,0.0,0.0
2000-08-10,0.0,0.0,0.0,0.0,0.0
2000-08-11,0.0,0.0,0.0,0.0,0.0
2000-08-12,0.0,0.0,0.0,0.0,0.0
2000-08-13,0.0,0.0,0.0,0.0,0.0
2000-08-14,0.0,0.0,0.0,0.0,0.0
2000-08-15,0.0,0.0,0.0,0.0,0.0
2000-08-16,0.0,0.0,0.0,0.0,0.0
2000-08-17,0.0,0.0,0.0,0.0,0.0
2000-08-18,0.0,0.0,0.0,0.0,0.0
2000-08-19,0.0,0.0,0.0,0.0,0.0
2000-08-20,0.0,0.0,0.0,0.0,0.0
2000-08-21,0.0,0.0,0.0,0.0,0.0
2000-08-22,0.0,0.0,0.0,0.0,0.0
2000-08-23,0.0,0.0,0.0,0.0,0.0
2000-08-24,0.0,0.0,0.0,0.0,0.0
2000-08-25,0.0,0.0,0.0,0.0,0.0
2000-09-01,0.02,0.02,0.0,0.0,0.0
2000-09-02,0.15,0.15,0.0,0.0,0.0
2000-09-03,0.0,0.0,0.0,0.0,0.0
2000-09-04,0.0,0.0,0.0,0.0,0.0
2000-09-05,0.0,0.0,0.0,0.0,0.0
2000-09-06,0.0,0.0,0.0,0.0,0.0
2000-09-07,0.0,0.0,0.0,0.0,0.0
2000-09-08,0.0,0.0,0.0,0.0,0.0
2000-09-09,0.0,0.0,0.0,0.0,0.0
2000-09-10,0.0,0.0,0.0,0.0,0.0
2000-09-11,0.0,0.0,0.0,0.0,0.0
2000-09-12,0.0,0.0,0.0,0.0,0.0
2000-09-13,0.0,0.0,0.0,0.0,0.0
2000-09-14,0.36,0.36,0.0,0.0,0.0
2000-09-15,0.0,0.0,0.0,0.0,0.0
2000-09-16,0.0,0.0,0.0,0.0,0.0
2000-09-17,0.0,0.0,0.0,0.0,0.0
2000-09-18,0.0,0.0,0.0,0.0,0.0
2000-09-19,0.0,0.0,0.0,0.0,0.0
2000-09-20,0.0,0.0,0.0,0.0,0.0
2000-09-21,0.0,0.0,0.0,0.0,0.0
2000-09-22,0.02,0.02,0.0,0.15,0.0
2000-09-23,0.0,0.0,0.0,0.0,0.0
2000-09-24,0.0,0.0,0.0,0.0,0.0
2000-09-25,0.0,0.0,0.0,0.0,0.0
2000-10-01,0.0,0.0,0.0,0.0,0.0
2000-10-02,0.0,0.0,0.0,0.0,0.0
2000-10-03,0.0,0.0,0.0,0.0,0.0
2000-10-04,0.0,0.0,0.0,0.0,0.0
2000-10-05,0.0,0.0,0.0,0.0,0.01
2000-10-06,0.0,0.0,0.0,0.0,0.06
2000-10-07,0.0,0.0,0.0,0.0,0.01
2000-10-08,0.0,0.0,0.0,0.0,0.0
2000-10-09,0.24,0.24,0.0,0.0,0.0
2000-10-10,0.06,0.06,0.08,0.0,0.07
2000-10-11,0.0,0.0,0.0,0.12,0.02
2000-10-12,0.0,0.0,0.06,0.0,0.0
2000-10-13,0.0,0.0,0.0,0.0,0.0
2000-10-14,0.01,0.01,0.0,0.0,0.0
2000-10-15,0.0,0.0,0.0,0.0,0.0
2000-10-16,0.0,0.0,0.0,0.0,0.0
2000-10-17,0.0,0.0,0.0,0.0,0.0
2000-10-18,0.0,0.0,0.0,0.0,0.0
2000-10-19,0.02,0.02,0.0,0.0,0.0
